barcode	gene_id	normalized_count
TCGA-A6-5659-01A-01R-1653-07	?|100130426	0
TCGA-A6-5659-01A-01R-1653-07	?|100133144	8.5186
TCGA-A6-5659-01A-01R-1653-07	?|100134869	2.1297
TCGA-A6-5659-01A-01R-1653-07	?|10357	210.2017
TCGA-A6-5659-01A-01R-1653-07	?|10431	980.0696
TCGA-A6-5659-01A-01R-1653-07	?|136542	0
TCGA-A6-5659-01A-01R-1653-07	?|155060	125.6499
TCGA-A6-5659-01A-01R-1653-07	?|26823	.4259
TCGA-A6-5659-01A-01R-1653-07	?|280660	0
TCGA-A6-5659-01A-01R-1653-07	?|317712	0
TCGA-A6-5659-01A-01R-1653-07	?|340602	0
TCGA-A6-5659-01A-01R-1653-07	?|388795	2.1297
TCGA-A6-5659-01A-01R-1653-07	?|390284	3.8334
TCGA-A6-5659-01A-01R-1653-07	?|391343	0
TCGA-A6-5659-01A-01R-1653-07	?|391714	0
TCGA-A6-5659-01A-01R-1653-07	?|404770	0
TCGA-A6-5659-01A-01R-1653-07	?|441362	0
TCGA-A6-5659-01A-01R-1653-07	?|442388	0
TCGA-A6-5659-01A-01R-1653-07	?|553137	0
TCGA-A6-5659-01A-01R-1653-07	?|57714	213.8179
TCGA-A6-5659-01A-01R-1653-07	?|645851	5.963
TCGA-A6-5659-01A-01R-1653-07	?|652919	2.1297
TCGA-A6-5659-01A-01R-1653-07	?|653553	362.8941
TCGA-A6-5659-01A-01R-1653-07	?|728045	0
TCGA-A6-5659-01A-01R-1653-07	?|728603	0
TCGA-A6-5659-01A-01R-1653-07	?|728788	.8519
TCGA-A6-5659-01A-01R-1653-07	?|729884	0
TCGA-A6-5659-01A-01R-1653-07	?|8225	1012.4404
TCGA-A6-5659-01A-01R-1653-07	?|90288	0
TCGA-A6-5659-01A-01R-1653-07	A1BG|1	7.2408
TCGA-A6-5659-01A-01R-1653-07	A1CF|29974	195.0769
TCGA-A6-5659-01A-01R-1653-07	A2BP1|54715	13.6298
TCGA-A6-5659-01A-01R-1653-07	A2LD1|87769	110.1205
TCGA-A6-5659-01A-01R-1653-07	A2ML1|144568	0
TCGA-A6-5659-01A-01R-1653-07	A2M|2	5831.8399
TCGA-A6-5659-01A-01R-1653-07	A4GALT|53947	70.7047
TCGA-A6-5659-01A-01R-1653-07	A4GNT|51146	0
TCGA-A6-5659-01A-01R-1653-07	AAA1|404744	.4259
TCGA-A6-5659-01A-01R-1653-07	AAAS|8086	692.9914
TCGA-A6-5659-01A-01R-1653-07	AACSL|729522	.8519
TCGA-A6-5659-01A-01R-1653-07	AACS|65985	888.4942
TCGA-A6-5659-01A-01R-1653-07	AADACL2|344752	0
TCGA-A6-5659-01A-01R-1653-07	AADACL3|126767	0
TCGA-A6-5659-01A-01R-1653-07	AADACL4|343066	.4259
TCGA-A6-5659-01A-01R-1653-07	AADAC|13	20.0188
TCGA-A6-5659-01A-01R-1653-07	AADAT|51166	230.0033
TCGA-A6-5659-01A-01R-1653-07	AAGAB|79719	1323.7967
TCGA-A6-5659-01A-01R-1653-07	AAK1|22848	1749.3028
TCGA-A6-5659-01A-01R-1653-07	AAMP|14	2984.9316
TCGA-A6-5659-01A-01R-1653-07	AANAT|15	0
TCGA-A6-5659-01A-01R-1653-07	AARS2|57505	500.4275
TCGA-A6-5659-01A-01R-1653-07	AARSD1|80755	554.1376
TCGA-A6-5659-01A-01R-1653-07	AARS|16	3338.0292
TCGA-A6-5659-01A-01R-1653-07	AASDHPPT|60496	961.7545
