barcode	isoform_id	normalized_count
TCGA-A6-5659-01A-01R-1653-07	uc001aaa.3	0
TCGA-A6-5659-01A-01R-1653-07	uc001aab.3	24.6575
TCGA-A6-5659-01A-01R-1653-07	uc001aac.3	0
TCGA-A6-5659-01A-01R-1653-07	uc001aae.3	0
TCGA-A6-5659-01A-01R-1653-07	uc001aah.3	5.2735
TCGA-A6-5659-01A-01R-1653-07	uc001aai.1	119.2787
TCGA-A6-5659-01A-01R-1653-07	uc001aak.2	.479
TCGA-A6-5659-01A-01R-1653-07	uc001aal.1	0
TCGA-A6-5659-01A-01R-1653-07	uc001aam.3	96.2736
TCGA-A6-5659-01A-01R-1653-07	uc001aaq.1	0
TCGA-A6-5659-01A-01R-1653-07	uc001aar.1	0
TCGA-A6-5659-01A-01R-1653-07	uc001aau.2	119.7768
TCGA-A6-5659-01A-01R-1653-07	uc001aav.3	58.6742
TCGA-A6-5659-01A-01R-1653-07	uc001aax.1	0
TCGA-A6-5659-01A-01R-1653-07	uc001aaz.2	84100.9675
TCGA-A6-5659-01A-01R-1653-07	uc001aba.1	12727.7517
TCGA-A6-5659-01A-01R-1653-07	uc001abb.2	0
TCGA-A6-5659-01A-01R-1653-07	uc001abc.2	39443.9123
TCGA-A6-5659-01A-01R-1653-07	uc001abe.3	3.2187
TCGA-A6-5659-01A-01R-1653-07	uc001abi.1	0
TCGA-A6-5659-01A-01R-1653-07	uc001abj.2	0
TCGA-A6-5659-01A-01R-1653-07	uc001abl.2	0
TCGA-A6-5659-01A-01R-1653-07	uc001abm.2	12.7503
TCGA-A6-5659-01A-01R-1653-07	uc001abo.2	19.6379
TCGA-A6-5659-01A-01R-1653-07	uc001abp.1	0
TCGA-A6-5659-01A-01R-1653-07	uc001abq.1	16.0552
TCGA-A6-5659-01A-01R-1653-07	uc001abr.1	112.7551
TCGA-A6-5659-01A-01R-1653-07	uc001abs.2	59.8716
TCGA-A6-5659-01A-01R-1653-07	uc001abt.3	6.2267
TCGA-A6-5659-01A-01R-1653-07	uc001abu.1	.9579
TCGA-A6-5659-01A-01R-1653-07	uc001abv.1	2.8738
TCGA-A6-5659-01A-01R-1653-07	uc001abw.1	0
TCGA-A6-5659-01A-01R-1653-07	uc001abx.1	39.1513
TCGA-A6-5659-01A-01R-1653-07	uc001aby.3	83.8155
TCGA-A6-5659-01A-01R-1653-07	uc001abz.3	2076.4154
TCGA-A6-5659-01A-01R-1653-07	uc001aca.1	26.5495
TCGA-A6-5659-01A-01R-1653-07	uc001acb.1	0
TCGA-A6-5659-01A-01R-1653-07	uc001acc.1	38.4951
TCGA-A6-5659-01A-01R-1653-07	uc001acd.2	2.8643
TCGA-A6-5659-01A-01R-1653-07	uc001ace.2	44.8367
TCGA-A6-5659-01A-01R-1653-07	uc001acf.2	20.797
TCGA-A6-5659-01A-01R-1653-07	uc001acg.2	26.1663
TCGA-A6-5659-01A-01R-1653-07	uc001ach.2	.6562
TCGA-A6-5659-01A-01R-1653-07	uc001aci.2	0
TCGA-A6-5659-01A-01R-1653-07	uc001acj.3	540.2816
TCGA-A6-5659-01A-01R-1653-07	uc001ack.1	3582.7187
TCGA-A6-5659-01A-01R-1653-07	uc001acl.1	7.1846
TCGA-A6-5659-01A-01R-1653-07	uc001acm.2	63.1239
TCGA-A6-5659-01A-01R-1653-07	uc001acn.2	22.277
TCGA-A6-5659-01A-01R-1653-07	uc001acp.2	39.9224
TCGA-A6-5659-01A-01R-1653-07	uc001acr.2	0
TCGA-A6-5659-01A-01R-1653-07	uc001acs.2	0
TCGA-A6-5659-01A-01R-1653-07	uc001act.2	9.4453
TCGA-A6-5659-01A-01R-1653-07	uc001acu.2	0
TCGA-A6-5659-01A-01R-1653-07	uc001acv.2	5.7477
TCGA-A6-5659-01A-01R-1653-07	uc001acw.2	0
TCGA-A6-5659-01A-01R-1653-07	uc001acx.1	0
TCGA-A6-5659-01A-01R-1653-07	uc001acy.2	.9292
TCGA-A6-5659-01A-01R-1653-07	uc001acz.1	.9867
TCGA-A6-5659-01A-01R-1653-07	uc001ada.2	0
TCGA-A6-5659-01A-01R-1653-07	uc001adb.2	0
TCGA-A6-5659-01A-01R-1653-07	uc001adc.2	19.1589
TCGA-A6-5659-01A-01R-1653-07	uc001add.2	0
TCGA-A6-5659-01A-01R-1653-07	uc001ade.2	19.0057
TCGA-A6-5659-01A-01R-1653-07	uc001adf.2	3.5061
TCGA-A6-5659-01A-01R-1653-07	uc001adg.2	61.9839
TCGA-A6-5659-01A-01R-1653-07	uc001adh.3	3587.1587
TCGA-A6-5659-01A-01R-1653-07	uc001adi.3	108.7987
TCGA-A6-5659-01A-01R-1653-07	uc001adj.1	14.7332
TCGA-A6-5659-01A-01R-1653-07	uc001adk.2	458.8562
TCGA-A6-5659-01A-01R-1653-07	uc001adl.1	4.3108
TCGA-A6-5659-01A-01R-1653-07	uc001adm.2	0
TCGA-A6-5659-01A-01R-1653-07	uc001adn.2	0
TCGA-A6-5659-01A-01R-1653-07	uc001ado.2	0
TCGA-A6-5659-01A-01R-1653-07	uc001adp.2	776.037
TCGA-A6-5659-01A-01R-1653-07	uc001adq.2	40.8708
TCGA-A6-5659-01A-01R-1653-07	uc001adr.2	7.1032
TCGA-A6-5659-01A-01R-1653-07	uc001ads.2	41.9724
TCGA-A6-5659-01A-01R-1653-07	uc001adt.1	0
TCGA-A6-5659-01A-01R-1653-07	uc001adu.1	0
