barcode	gene_id	raw_count	scaled_estimate	transcript_id
TCGA-A6-5659-01A-01R-1653-07	?|100130426	0.0	0	uc011lsn.1
TCGA-A6-5659-01A-01R-1653-07	?|100133144	20.0	6.53772053279195e-07	uc010unu.1,uc010uoa.1
TCGA-A6-5659-01A-01R-1653-07	?|100134869	5.0	1.18740393489319e-07	uc002bgz.2,uc002bic.2
TCGA-A6-5659-01A-01R-1653-07	?|10357	493.51	3.68695290994479e-05	uc010zzl.1
TCGA-A6-5659-01A-01R-1653-07	?|10431	2301.0	7.84640548854629e-05	uc001jiu.2,uc010qhg.1
TCGA-A6-5659-01A-01R-1653-07	?|136542	0.0	0	uc011krn.1
TCGA-A6-5659-01A-01R-1653-07	?|155060	295.0	3.66277792021579e-06	uc003wfr.3,uc003wft.3,uc003wfu.2,uc011kup.1
TCGA-A6-5659-01A-01R-1653-07	?|26823	1.0	9.35395139127028e-08	uc011mlh.1
TCGA-A6-5659-01A-01R-1653-07	?|280660	0.0	0	uc010nib.1
TCGA-A6-5659-01A-01R-1653-07	?|317712	0.0	0	uc010ihw.1
TCGA-A6-5659-01A-01R-1653-07	?|340602	0.0	0	uc004dpj.2
TCGA-A6-5659-01A-01R-1653-07	?|388795	5.0	4.42287755800091e-08	uc010zub.1
TCGA-A6-5659-01A-01R-1653-07	?|390284	9.0	2.05497720839922e-06	uc001qoa.2
TCGA-A6-5659-01A-01R-1653-07	?|391343	0.0	0	uc010ewg.2,uc010ewh.1
TCGA-A6-5659-01A-01R-1653-07	?|391714	0.0	0	uc011cjl.1
TCGA-A6-5659-01A-01R-1653-07	?|404770	0.0	0	uc010mpu.1
TCGA-A6-5659-01A-01R-1653-07	?|441362	0.0	0	uc003ydl.1,uc010mgi.2
TCGA-A6-5659-01A-01R-1653-07	?|442388	0.0	0	uc011lec.1
TCGA-A6-5659-01A-01R-1653-07	?|553137	0.0	0	uc003prp.2
TCGA-A6-5659-01A-01R-1653-07	?|57714	502.0	3.54001522369304e-06	uc002jye.1,uc002jyf.2,uc002jyg.1
TCGA-A6-5659-01A-01R-1653-07	?|645851	14.0	6.88432773979034e-07	uc010crq.1
TCGA-A6-5659-01A-01R-1653-07	?|652919	5.0	5.35725340144494e-08	uc010yxg.1
TCGA-A6-5659-01A-01R-1653-07	?|653553	852.0	0.000145966671666485	uc011lsc.1
TCGA-A6-5659-01A-01R-1653-07	?|728045	0.0	0	uc011cbi.1
TCGA-A6-5659-01A-01R-1653-07	?|728603	0.0	0	uc001jfy.3
